,date,soil_moisture(m^3/m^3),precipitation
0,2025-12-19 00:00:00+00:00,0.31774998,1.8
1,2025-12-19 01:00:00+00:00,0.3185,0.5
2,2025-12-19 02:00:00+00:00,0.315,0.4
3,2025-12-19 03:00:00+00:00,0.31425,0.0
4,2025-12-19 04:00:00+00:00,0.311,0.0
5,2025-12-19 05:00:00+00:00,0.30825,0.0
6,2025-12-19 06:00:00+00:00,0.30699998,0.1
7,2025-12-19 07:00:00+00:00,0.3055,0.1
8,2025-12-19 08:00:00+00:00,0.30475,0.1
9,2025-12-19 09:00:00+00:00,0.304,0.0
10,2025-12-19 10:00:00+00:00,0.3035,0.0
11,2025-12-19 11:00:00+00:00,0.30275,0.0
12,2025-12-19 12:00:00+00:00,0.30200002,0.0
13,2025-12-19 13:00:00+00:00,0.30200002,0.1
14,2025-12-19 14:00:00+00:00,0.30125,0.0
15,2025-12-19 15:00:00+00:00,0.3005,0.0
16,2025-12-19 16:00:00+00:00,0.29975,0.0
17,2025-12-19 17:00:00+00:00,0.2995,0.0
18,2025-12-19 18:00:00+00:00,0.29925,0.0
19,2025-12-19 19:00:00+00:00,0.30375,0.0
20,2025-12-19 20:00:00+00:00,0.3035,0.0
21,2025-12-19 21:00:00+00:00,0.30324998,0.0
22,2025-12-19 22:00:00+00:00,0.30324998,0.0
23,2025-12-19 23:00:00+00:00,0.30324998,0.0
24,2025-12-20 00:00:00+00:00,0.303,0.0
25,2025-12-20 01:00:00+00:00,0.303,0.0
26,2025-12-20 02:00:00+00:00,0.30275,0.0
27,2025-12-20 03:00:00+00:00,0.30275,0.0
28,2025-12-20 04:00:00+00:00,0.30225,0.0
29,2025-12-20 05:00:00+00:00,0.30200002,0.0
30,2025-12-20 06:00:00+00:00,0.30200002,0.0
31,2025-12-20 07:00:00+00:00,0.30200002,0.0
32,2025-12-20 08:00:00+00:00,0.30200002,0.0
33,2025-12-20 09:00:00+00:00,0.30175,0.0
34,2025-12-20 10:00:00+00:00,0.30175,0.0
35,2025-12-20 11:00:00+00:00,0.30175,0.0
36,2025-12-20 12:00:00+00:00,0.30125,0.0
37,2025-12-20 13:00:00+00:00,0.30125,0.0
38,2025-12-20 14:00:00+00:00,0.301,0.0
39,2025-12-20 15:00:00+00:00,0.301,0.0
40,2025-12-20 16:00:00+00:00,0.301,0.0
41,2025-12-20 17:00:00+00:00,0.301,0.0
42,2025-12-20 18:00:00+00:00,0.301,0.0
43,2025-12-20 19:00:00+00:00,0.3015,0.0
44,2025-12-20 20:00:00+00:00,0.3015,0.0
45,2025-12-20 21:00:00+00:00,0.30150002,0.0
46,2025-12-20 22:00:00+00:00,0.301,0.0
47,2025-12-20 23:00:00+00:00,0.30075002,0.0
48,2025-12-21 00:00:00+00:00,0.30025,0.0
49,2025-12-21 01:00:00+00:00,0.29775,0.0
50,2025-12-21 02:00:00+00:00,0.2965,0.0
51,2025-12-21 03:00:00+00:00,0.296,0.0
52,2025-12-21 04:00:00+00:00,0.295,0.0
